size,mac_lanes,clock_mhz,compute_efficiency_assumed,ddr_MBps_assumed,conv_ideal_ms,conv_efficiency_ms,reference_traffic_MB,reference_memory_ms,perfect_overlap_reference_ms,no_overlap_reference_ms
320,128,150,0.8,100,52.657000000000004,65.82124999999999,11.483484,114.83484,114.83484,180.65608999999998
320,128,150,0.8,250,52.657000000000004,65.82124999999999,11.483484,45.933936,65.82124999999999,111.75518600000001
320,128,150,0.8,500,52.657000000000004,65.82124999999999,11.483484,22.966968,65.82124999999999,88.788218
416,64,100,0.4,100,266.97099000000003,667.427475,17.335995,173.35995000000003,667.427475,840.787425
416,64,100,0.4,250,266.97099000000003,667.427475,17.335995,69.34398,667.427475,736.771455
416,64,100,0.4,500,266.97099000000003,667.427475,17.335995,34.67199,667.427475,702.099465
416,64,100,0.6,100,266.97099000000003,444.95165000000003,17.335995,173.35995000000003,444.95165000000003,618.3116000000001
416,64,100,0.6,250,266.97099000000003,444.95165000000003,17.335995,69.34398,444.95165000000003,514.29563
416,64,100,0.6,500,266.97099000000003,444.95165000000003,17.335995,34.67199,444.95165000000003,479.62364
416,64,100,0.8,100,266.97099000000003,333.7137375,17.335995,173.35995000000003,333.7137375,507.07368750000006
416,64,100,0.8,250,266.97099000000003,333.7137375,17.335995,69.34398,333.7137375,403.05771749999997
416,64,100,0.8,500,266.97099000000003,333.7137375,17.335995,34.67199,333.7137375,368.3857275
416,64,150,0.4,100,177.98066,444.95165000000003,17.335995,173.35995000000003,444.95165000000003,618.3116000000001
416,64,150,0.4,250,177.98066,444.95165000000003,17.335995,69.34398,444.95165000000003,514.29563
416,64,150,0.4,500,177.98066,444.95165000000003,17.335995,34.67199,444.95165000000003,479.62364
416,64,150,0.6,100,177.98066,296.6344333333334,17.335995,173.35995000000003,296.6344333333334,469.9943833333334
416,64,150,0.6,250,177.98066,296.6344333333334,17.335995,69.34398,296.6344333333334,365.9784133333334
416,64,150,0.6,500,177.98066,296.6344333333334,17.335995,34.67199,296.6344333333334,331.3064233333334
416,64,150,0.8,100,177.98066,222.47582500000001,17.335995,173.35995000000003,222.47582500000001,395.835775
416,64,150,0.8,250,177.98066,222.47582500000001,17.335995,69.34398,222.47582500000001,291.81980500000003
416,64,150,0.8,500,177.98066,222.47582500000001,17.335995,34.67199,222.47582500000001,257.147815
416,128,100,0.4,100,133.48549500000001,333.7137375,17.335995,173.35995000000003,333.7137375,507.07368750000006
416,128,100,0.4,250,133.48549500000001,333.7137375,17.335995,69.34398,333.7137375,403.05771749999997
416,128,100,0.4,500,133.48549500000001,333.7137375,17.335995,34.67199,333.7137375,368.3857275
416,128,100,0.6,100,133.48549500000001,222.47582500000001,17.335995,173.35995000000003,222.47582500000001,395.835775
416,128,100,0.6,250,133.48549500000001,222.47582500000001,17.335995,69.34398,222.47582500000001,291.81980500000003
416,128,100,0.6,500,133.48549500000001,222.47582500000001,17.335995,34.67199,222.47582500000001,257.147815
416,128,100,0.8,100,133.48549500000001,166.85686875,17.335995,173.35995000000003,173.35995000000003,340.21681874999996
416,128,100,0.8,250,133.48549500000001,166.85686875,17.335995,69.34398,166.85686875,236.20084875
416,128,100,0.8,500,133.48549500000001,166.85686875,17.335995,34.67199,166.85686875,201.52885874999998
416,128,150,0.4,100,88.99033,222.47582500000001,17.335995,173.35995000000003,222.47582500000001,395.835775
416,128,150,0.4,250,88.99033,222.47582500000001,17.335995,69.34398,222.47582500000001,291.81980500000003
416,128,150,0.4,500,88.99033,222.47582500000001,17.335995,34.67199,222.47582500000001,257.147815
416,128,150,0.6,100,88.99033,148.3172166666667,17.335995,173.35995000000003,173.35995000000003,321.67716666666666
416,128,150,0.6,250,88.99033,148.3172166666667,17.335995,69.34398,148.3172166666667,217.66119666666668
416,128,150,0.6,500,88.99033,148.3172166666667,17.335995,34.67199,148.3172166666667,182.9892066666667
416,128,150,0.8,100,88.99033,111.23791250000001,17.335995,173.35995000000003,173.35995000000003,284.5978625
416,128,150,0.8,250,88.99033,111.23791250000001,17.335995,69.34398,111.23791250000001,180.5818925
416,128,150,0.8,500,88.99033,111.23791250000001,17.335995,34.67199,111.23791250000001,145.90990250000002
640,64,100,0.4,100,631.884,1579.71,36.929184,369.29184,1579.71,1949.00184
640,64,100,0.4,250,631.884,1579.71,36.929184,147.716736,1579.71,1727.426736
640,64,100,0.4,500,631.884,1579.71,36.929184,73.858368,1579.71,1653.568368
640,64,100,0.6,100,631.884,1053.1399999999999,36.929184,369.29184,1053.1399999999999,1422.43184
640,64,100,0.6,250,631.884,1053.1399999999999,36.929184,147.716736,1053.1399999999999,1200.856736
640,64,100,0.6,500,631.884,1053.1399999999999,36.929184,73.858368,1053.1399999999999,1126.998368
640,64,100,0.8,100,631.884,789.855,36.929184,369.29184,789.855,1159.14684
640,64,100,0.8,250,631.884,789.855,36.929184,147.716736,789.855,937.571736
640,64,100,0.8,500,631.884,789.855,36.929184,73.858368,789.855,863.713368
640,64,150,0.4,100,421.25600000000003,1053.1399999999999,36.929184,369.29184,1053.1399999999999,1422.43184
640,64,150,0.4,250,421.25600000000003,1053.1399999999999,36.929184,147.716736,1053.1399999999999,1200.856736
640,64,150,0.4,500,421.25600000000003,1053.1399999999999,36.929184,73.858368,1053.1399999999999,1126.998368
640,64,150,0.6,100,421.25600000000003,702.0933333333334,36.929184,369.29184,702.0933333333334,1071.3851733333333
640,64,150,0.6,250,421.25600000000003,702.0933333333334,36.929184,147.716736,702.0933333333334,849.8100693333333
640,64,150,0.6,500,421.25600000000003,702.0933333333334,36.929184,73.858368,702.0933333333334,775.9517013333334
640,64,150,0.8,100,421.25600000000003,526.5699999999999,36.929184,369.29184,526.5699999999999,895.86184
640,64,150,0.8,250,421.25600000000003,526.5699999999999,36.929184,147.716736,526.5699999999999,674.286736
640,64,150,0.8,500,421.25600000000003,526.5699999999999,36.929184,73.858368,526.5699999999999,600.428368
640,128,100,0.4,100,315.942,789.855,36.929184,369.29184,789.855,1159.14684
640,128,100,0.4,250,315.942,789.855,36.929184,147.716736,789.855,937.571736
640,128,100,0.4,500,315.942,789.855,36.929184,73.858368,789.855,863.713368
640,128,100,0.6,100,315.942,526.5699999999999,36.929184,369.29184,526.5699999999999,895.86184
640,128,100,0.6,250,315.942,526.5699999999999,36.929184,147.716736,526.5699999999999,674.286736
640,128,100,0.6,500,315.942,526.5699999999999,36.929184,73.858368,526.5699999999999,600.428368
640,128,100,0.8,100,315.942,394.9275,36.929184,369.29184,394.9275,764.2193399999999
