img,node,cosine
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.18.cv1,0.962177
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.18.m.0,0.955386
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.18.cv2,0.968574
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.19,0.93954
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.20,0.954848
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.21.cv1,0.956639
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.21.m.0,0.959574
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.21.cv2,0.951546
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.22.cv2.0.0,0.958642
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.22.cv2.0.1,0.962377
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.22.cv2.0.2,0.981236
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.22.cv3.0.0,0.938546
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.22.cv3.0.1,0.935247
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.22.cv3.0.2,0.999503
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.22.cv2.1.0,0.951547
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.22.cv2.1.1,0.960416
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.22.cv2.1.2,0.981281
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.22.cv3.1.0,0.945595
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.22.cv3.1.1,0.930512
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.22.cv3.1.2,0.998983
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.22.cv2.2.0,0.966333
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.22.cv2.2.1,0.979832
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.22.cv2.2.2,0.990266
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.22.cv3.2.0,0.970154
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.22.cv3.2.1,0.979737
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.22.cv3.2.2,0.999129
