img,node,cosine
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.22.cv2.2.1,0.992647
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.22.cv2.2.2,0.997866
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.22.cv3.2.0,0.975874
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.22.cv3.2.1,0.982271
images9-2-_jpg.rf.e517e4aee1cb3c38391c9abbd6c12c4e.jpg,model.22.cv3.2.2,0.999631
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.0,0.998274
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.1,0.993073
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.2.cv1,0.986011
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.2.m.0,0.98574
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.2.cv2,0.983659
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.3,0.985639
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.4.cv1,0.978245
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.4.m.0,0.991482
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.4.m.1,0.992895
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.4.cv2,0.976286
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.5,0.968954
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.6.cv1,0.963686
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.6.m.0,0.976887
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.6.m.1,0.98424
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.6.cv2,0.971395
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.7,0.961544
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.8.cv1,0.950808
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.8.m.0,0.969521
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.8.cv2,0.962189
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.11,0.974912
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.12.cv1,0.979115
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.12.m.0,0.976738
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.12.cv2,0.976874
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.14,0.976219
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.15.cv1,0.992069
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.15.m.0,0.990077
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.15.cv2,0.988499
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.16,0.968459
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.17,0.973225
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.18.cv1,0.972512
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.18.m.0,0.975298
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.18.cv2,0.983517
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.19,0.970786
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.20,0.973625
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.21.cv1,0.972585
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.21.m.0,0.98401
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.21.cv2,0.97997
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.22.cv2.0.0,0.975365
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.22.cv2.0.1,0.976168
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.22.cv2.0.2,0.988436
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.22.cv3.0.0,0.957718
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.22.cv3.0.1,0.961011
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.22.cv3.0.2,0.99966
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.22.cv2.1.0,0.97757
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.22.cv2.1.1,0.985603
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.22.cv2.1.2,0.993661
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.22.cv3.1.0,0.976622
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.22.cv3.1.1,0.978608
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.22.cv3.1.2,0.999449
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.22.cv2.2.0,0.991305
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.22.cv2.2.1,0.99562
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.22.cv2.2.2,0.998245
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.22.cv3.2.0,0.99056
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.22.cv3.2.1,0.993814
images9-3-_jpg.rf.43e040c027f3bdfdb0ab39b8333f9fb2.jpg,model.22.cv3.2.2,0.999498
